External ID,Name,Prompt Ref,Domain,Subdomain,Toolset,Tool Chain,Entry Tool,Steps,Tool Deps,Edition,Edition Notes,Params,Safety Rules,Governance,Artifact,Artifact Type,Version,Author,Status
dz_pm_barrel_001,Barrel Profile Lookup,101,Barrel Operations,Barrel Identity & Status,barrel-intelligence,getBarrelProfile,getBarrelProfile,"[{""call"":""getBarrelProfile"",""purpose"":""Resolve barrel identity, status, location, cooperage, and recent activity"",""params_from"":[""BARREL NUMBER""]}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes proof gallons, angel's share, and TTB fields. Winery: includes varietal, vintage, and appellation fields.","{""BARREL NUMBER"":{""type"":""text"",""required"":true,""hint"":""e.g. 092425-02"",""resolves_to"":""serialNumber filter on getBarrelProfile""}}","[""Never fabricate barrel data — all values must come from getBarrelProfile"",""If barrel not found, suggest using searchItems to find the correct barrel name""]",Minimal,F,,1.0.0,Doozy Labs,Active
dz_pm_barrel_002,Barrel Activity Timeline,102,Barrel Operations,Barrel Identity & Status,barrel-intelligence,getBarrelProfile -> getBarrelActivityHistory,getBarrelProfile,"[{""call"":""getBarrelProfile"",""purpose"":""Resolve barrel identity and context"",""params_from"":[""BARREL NUMBER""]},{""call"":""getBarrelActivityHistory"",""purpose"":""Retrieve full event timeline"",""depends_on"":""getBarrelProfile""}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes proof gallons, angel's share, and TTB fields. Winery: includes varietal, vintage, and appellation fields.","{""BARREL NUMBER"":{""type"":""text"",""required"":true,""hint"":""e.g. 092425-02"",""resolves_to"":""serialNumber filter on barrel tools""}}","[""Never fabricate barrel events — all values from getBarrelActivityHistory"",""If barrel not found, suggest using searchItems first""]",Standard,F,,1.0.0,Doozy Labs,Active
dz_pm_barrel_003,Barrel Cost Trace,103,Barrel Operations,Barrel Valuation & Finance,barrel-intelligence,getBarrelProfile -> getBarrelCostTrace,getBarrelProfile,"[{""call"":""getBarrelProfile"",""purpose"":""Resolve barrel identity, status, location, cooperage"",""params_from"":[""BARREL NUMBER""]},{""call"":""getBarrelCostTrace"",""purpose"":""Trace full cost history from acquisition through aging"",""condition"":""profile.status != 'Empty'"",""depends_on"":""getBarrelProfile""}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: cost-per-PG, angel's share, proof gallons. Winery: cost-per-gallon, no PG fields.","{""BARREL NUMBER"":{""type"":""text"",""required"":true,""hint"":""e.g. 092425-02"",""resolves_to"":""serialNumber filter on barrel tools""}}","[""Never fabricate barrel costs — all values from getBarrelCostTrace"",""Flag barrels with zero cost as data quality issues"",""If barrel not found, suggest searchItems first""]",Standard,T,cost-waterfall,1.0.0,Doozy Labs,Active
dz_pm_barrel_004,Barrel Operations KPI Dashboard,104,Barrel Operations,Barrel Portfolio & Dashboard,barrel-intelligence,getBarrelKPIs,getBarrelKPIs,"[{""call"":""getBarrelKPIs"",""purpose"":""Generate portfolio-level KPIs: inventory metrics, period activity, aging distribution, angel's share"",""params_from"":[""DATE RANGE""]}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes angel's share analysis, proof gallon metrics. Winery: volume-only metrics, no PG fields.","{""DATE RANGE"":{""type"":""text"",""required"":false,""hint"":""e.g. 01/01/2025 to 12/31/2025"",""resolves_to"":""startDate and endDate on getBarrelKPIs""}}","[""Never fabricate KPI values — all from getBarrelKPIs"",""Flag unusual angel's share percentages above 15% as potential data quality issues""]",Minimal,T,kpi-dashboard,1.0.0,Doozy Labs,Active
dz_pm_barrel_005,Barrel Aging Distribution,105,Barrel Operations,Barrel Portfolio & Dashboard,barrel-intelligence,getBarrelAging,getBarrelAging,"[{""call"":""getBarrelAging"",""purpose"":""Analyze barrel aging across the portfolio grouped by user-selected dimension"",""params_from"":[""GROUP BY""]}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes proof gallons per age bucket. Winery: volume-only metrics.","{""GROUP BY"":{""type"":""text"",""required"":false,""hint"":""item, location, cooper, or woodtype"",""resolves_to"":""groupBy parameter on getBarrelAging""}}","[""Never fabricate aging data — all values from getBarrelAging"",""Highlight groups with average age exceeding 4 years as harvest review candidates""]",Minimal,T,aging-chart,1.0.0,Doozy Labs,Active
dz_pm_barrel_006,Barrel Inventory Snapshot,106,Barrel Operations,Barrel Portfolio & Dashboard,barrel-intelligence,getBarrelInventory,getBarrelInventory,"[{""call"":""getBarrelInventory"",""purpose"":""Get current barrel counts grouped by user-selected dimension"",""params_from"":[""GROUP BY""]}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes proof gallons. Winery: volume-only.","{""GROUP BY"":{""type"":""text"",""required"":false,""hint"":""status, location, item, cooper, or batch"",""resolves_to"":""groupBy parameter on getBarrelInventory""}}","[""Never fabricate barrel counts — all values from getBarrelInventory""]",Minimal,F,,1.0.0,Doozy Labs,Active
dz_pm_barrel_007,Barrel Portfolio Valuation,107,Barrel Operations,Barrel Valuation & Finance,barrel-intelligence,getBarrelValuation,getBarrelValuation,"[{""call"":""getBarrelValuation"",""purpose"":""Calculate financial value of barrel inventory grouped by user-selected dimension"",""params_from"":[""GROUP BY""]}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: value-per-PG metrics. Winery: value-per-gallon.","{""GROUP BY"":{""type"":""text"",""required"":false,""hint"":""serialnumber (individual), item, or location"",""resolves_to"":""groupBy parameter on getBarrelValuation""}}","[""Never fabricate valuation data — all values from getBarrelValuation"",""Flag barrels with zero value as potential data quality issues""]",Minimal,T,valuation-table,1.0.0,Doozy Labs,Active
dz_pm_barrel_008,Angels Share Analysis,108,Barrel Operations,Barrel Portfolio & Dashboard,barrel-intelligence,getBarrelKPIs,getBarrelKPIs,"[{""call"":""getBarrelKPIs"",""purpose"":""Get angel's share data from harvested barrels for the specified period"",""params_from"":[""DATE RANGE""]}]","[""barrel-intelligence""]",Distillery,"Distillery only — angel's share requires proof gallon tracking. Not applicable to winery edition.","{""DATE RANGE"":{""type"":""text"",""required"":false,""hint"":""e.g. 2025 or 01/01/2025 to 12/31/2025"",""resolves_to"":""startDate and endDate on getBarrelKPIs""}}","[""Never fabricate angel's share percentages"",""Flag barrels with angel's share above 15% as statistical outliers"",""Note: distillery edition only""]",Standard,T,aging-chart,1.0.0,Doozy Labs,Active
dz_pm_barrel_009,Cooperage Performance Comparison,109,Barrel Operations,Barrel Cooperage & Materials,barrel-intelligence,getBarrelAging + getBarrelInventory,getBarrelAging,"[{""call"":""getBarrelAging"",""purpose"":""Get aging distribution grouped by cooper""},{""call"":""getBarrelInventory"",""purpose"":""Get inventory counts grouped by cooper for supplemental metrics""}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes proof gallons per cooper. Winery: volume-only.",,"[""Never fabricate cooperage data — all values from getBarrelAging and getBarrelInventory""]",Standard,T,comparison-table,1.0.0,Doozy Labs,Active
dz_pm_barrel_010,Single Barrel Valuation,201,Barrel Operations,Barrel Valuation & Finance,barrel-intelligence,getBarrelProfile -> getBarrelValuation -> getBarrelCostTrace,getBarrelProfile,"[{""call"":""getBarrelProfile"",""purpose"":""Resolve barrel identity and context"",""params_from"":[""BARREL NUMBER""]},{""call"":""getBarrelValuation"",""purpose"":""Get current financial value"",""depends_on"":""getBarrelProfile""},{""call"":""getBarrelCostTrace"",""purpose"":""Trace cost waterfall from acquisition to current"",""depends_on"":""getBarrelProfile""}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: cost-per-PG, proof gallons. Winery: cost-per-gallon.","{""BARREL NUMBER"":{""type"":""text"",""required"":true,""hint"":""e.g. 092425-02"",""resolves_to"":""serialNumber filter on barrel tools""}}","[""Never fabricate barrel costs or values"",""Flag zero-value barrels as data quality issues""]",Standard,T,cost-waterfall,1.0.0,Doozy Labs,Active
dz_pm_barrel_011,Barrel Location Map,202,Barrel Operations,Barrel Warehouse & Location,barrel-intelligence,getBarrelLocationMap,getBarrelLocationMap,"[{""call"":""getBarrelLocationMap"",""purpose"":""Analyze barrel distribution across warehouses, bins, and racks"",""params_from"":[""GROUP BY""]}]","[""barrel-intelligence""]",Cross-Edition,"Same across editions — location data is edition-independent.","{""GROUP BY"":{""type"":""text"",""required"":false,""hint"":""location, bin, or rack"",""resolves_to"":""groupBy parameter on getBarrelLocationMap""}}","[""Never fabricate location data — all values from getBarrelLocationMap""]",Minimal,T,location-map,1.0.0,Doozy Labs,Active
dz_pm_barrel_012,Harvest-Ready Barrels,203,Barrel Operations,Barrel Harvest Planning,barrel-intelligence,getBarrelInventory -> getBarrelValuation,getBarrelInventory,"[{""call"":""getBarrelInventory"",""purpose"":""Get barrels in Ready to Harvest status""},{""call"":""getBarrelValuation"",""purpose"":""Get valuation for harvest-ready barrels"",""depends_on"":""getBarrelInventory""}]","[""barrel-intelligence""]",Cross-Edition,"Distillery: includes proof gallons and cost-per-PG for harvest candidates. Winery: volume-only.",,"[""Never fabricate harvest readiness data"",""Highlight barrels over 8 years as longest-aged candidates""]",Standard,T,harvest-table,1.0.0,Doozy Labs,Active
